
#2021-08-31	16:00:28
#step 0
#TID 0.000000E+0

$$ Measurements for
pMOS_SLVt_5.0x6.0		P	W=	5	L=	6


ID_VG

ID

VG	VD=-20.000E-3	VD=-1.200E+0	
200.000000E-3	N	-2.253949E-12	N	-73.90005E-12
180.000000E-3	N	-2.802243E-12	N	-72.66400E-12
160.000000E-3	N	-3.890717E-12	N	-73.01277E-12
140.000000E-3	N	-6.476438E-12	N	-76.08709E-12
120.000000E-3	N	-11.83837E-12	N	-84.57880E-12
100.000000E-3	N	-22.41998E-12	N	-105.0260E-12
80.000000E-3	N	-43.54820E-12	N	-145.2554E-12
60.000000E-3	N	-85.70496E-12	N	-227.9609E-12
40.000000E-3	N	-169.8877E-12	N	-394.6701E-12
20.000000E-3	N	-333.2361E-12	N	-726.2886E-12
0.000000E+0	N	-653.5748E-12	N	-1.397766E-09
-20.000000E-3	N	-1.287883E-09	N	-2.690855E-09
-40.000000E-3	N	-2.464311E-09	N	-5.205057E-09
-60.000000E-3	N	-4.645378E-09	N	-9.978604E-09
-80.000000E-3	N	-8.495114E-09	N	-18.86732E-09
-100.000000E-3	N	-14.99736E-09	N	-34.26925E-09
-120.000000E-3	N	-24.86402E-09	N	-59.83939E-09
-140.000000E-3	N	-38.95869E-09	N	-99.66028E-09
-160.000000E-3	N	-57.61932E-09	N	-159.0686E-09
-180.000000E-3	N	-80.64297E-09	N	-239.5855E-09
-200.000000E-3	N	-108.6520E-09	N	-345.3852E-09
-220.000000E-3	N	-138.5808E-09	N	-478.6274E-09
-240.000000E-3	N	-170.7730E-09	N	-641.4197E-09
-260.000000E-3	N	-204.4729E-09	N	-834.4719E-09
-280.000000E-3	N	-239.3396E-09	N	-1.058009E-06
-300.000000E-3	N	-274.6175E-09	N	-1.313338E-06
-320.000000E-3	N	-310.3356E-09	N	-1.600231E-06
-340.000000E-3	N	-346.0242E-09	N	-1.918334E-06
-360.000000E-3	N	-381.5187E-09	N	-2.268086E-06
-380.000000E-3	N	-416.8041E-09	N	-2.648998E-06
-400.000000E-3	N	-451.6906E-09	N	-3.060157E-06
-420.000000E-3	N	-486.3261E-09	N	-3.502537E-06
-440.000000E-3	N	-520.3981E-09	N	-3.975551E-06
-460.000000E-3	N	-554.1973E-09	N	-4.478195E-06
-480.000000E-3	N	-587.1570E-09	N	-5.009640E-06
-500.000000E-3	N	-619.7087E-09	N	-5.570025E-06
-520.000000E-3	N	-652.0375E-09	N	-6.158750E-06
-540.000000E-3	N	-683.4224E-09	N	-6.774972E-06
-560.000000E-3	N	-714.3119E-09	N	-7.417453E-06
-580.000000E-3	N	-744.9988E-09	N	-8.086381E-06
-600.000000E-3	N	-774.8167E-09	N	-8.781486E-06
-620.000000E-3	N	-803.8835E-09	N	-9.501798E-06
-640.000000E-3	N	-832.5984E-09	N	-10.24372E-06
-660.000000E-3	N	-860.9025E-09	N	-11.01340E-06
-680.000000E-3	N	-888.7493E-09	N	-11.80791E-06
-700.000000E-3	N	-915.8513E-09	N	-12.62740E-06
-720.000000E-3	N	-942.5182E-09	N	-13.46807E-06
-740.000000E-3	N	-968.9268E-09	N	-14.33227E-06
-760.000000E-3	N	-994.2567E-09	N	-15.21859E-06
-780.000000E-3	N	-1.023855E-06	N	-16.12656E-06
-800.000000E-3	N	-1.048813E-06	N	-17.05503E-06
-820.000000E-3	N	-1.072986E-06	N	-18.00533E-06
-840.000000E-3	N	-1.097086E-06	N	-18.97445E-06
-860.000000E-3	N	-1.120422E-06	N	-19.96291E-06
-880.000000E-3	N	-1.143358E-06	N	-20.97120E-06
-900.000000E-3	N	-1.165643E-06	N	-21.99708E-06
-920.000000E-3	N	-1.187738E-06	N	-23.04287E-06
-940.000000E-3	N	-1.209518E-06	N	-24.10614E-06
-960.000000E-3	N	-1.230793E-06	N	-25.18796E-06
-980.000000E-3	N	-1.251875E-06	N	-26.28701E-06
-1.000000E+0	N	-1.272250E-06	N	-27.40195E-06
-1.020000E+0	N	-1.292096E-06	N	-28.53533E-06
-1.040000E+0	N	-1.311572E-06	N	-29.68323E-06
-1.060000E+0	N	-1.330955E-06	N	-30.84819E-06
-1.080000E+0	N	-1.349787E-06	N	-32.02731E-06
-1.100000E+0	N	-1.368532E-06	N	-33.22160E-06
-1.120000E+0	N	-1.386477E-06	N	-34.42948E-06
-1.140000E+0	N	-1.404367E-06	N	-35.65051E-06
-1.160000E+0	N	-1.421644E-06	N	-36.88579E-06
-1.180000E+0	N	-1.438765E-06	N	-38.13485E-06
-1.200000E+0	N	-1.455743E-06	N	-39.39636E-06


IG

VG	VD=-20.000E-3	VD=-1.200E+0	
200.000000E-3	N	 11.22749E-12	N	 80.89643E-12
180.000000E-3	N	 10.68189E-12	N	 78.49580E-12
160.000000E-3	N	 9.158410E-12	N	 75.06691E-12
140.000000E-3	N	 8.331616E-12	N	 71.96958E-12
120.000000E-3	N	 7.559380E-12	N	 69.45563E-12
100.000000E-3	N	 7.580367E-12	N	 65.45176E-12
80.000000E-3	N	 7.223624E-12	N	 64.12972E-12
60.000000E-3	N	 7.265598E-12	N	 61.14571E-12
40.000000E-3	N	 5.855431E-12	N	 59.68098E-12
20.000000E-3	N	 5.385376E-12	N	 56.92780E-12
0.000000E+0	N	 5.158738E-12	N	 55.95412E-12
-20.000000E-3	N	 5.779887E-12	N	 53.78431E-12
-40.000000E-3	N	 5.490299E-12	N	 51.01014E-12
-60.000000E-3	N	 5.553252E-12	N	 48.38287E-12
-80.000000E-3	N	 4.579562E-12	N	 46.81321E-12
-100.000000E-3	N	 3.257533E-12	N	 45.20999E-12
-120.000000E-3	N	 3.102248E-12	N	 42.02033E-12
-140.000000E-3	N	 1.532601E-12	N	 39.77077E-12
-160.000000E-3	N	 114.0407E-15	N	 37.12251E-12
-180.000000E-3	N	-2.206863E-12	N	 35.17095E-12
-200.000000E-3	N	-4.586519E-12	N	 30.31510E-12
-220.000000E-3	N	-7.352293E-12	N	 26.96176E-12
-240.000000E-3	N	-12.25010E-12	N	 21.92965E-12
-260.000000E-3	N	-17.67253E-12	N	 16.03297E-12
-280.000000E-3	N	-24.79051E-12	N	 8.587627E-12
-300.000000E-3	N	-34.20421E-12	N	 1.070935E-12
-320.000000E-3	N	-43.96626E-12	N	-8.338567E-12
-340.000000E-3	N	-56.90195E-12	N	-18.41538E-12
-360.000000E-3	N	-71.93626E-12	N	-31.71124E-12
-380.000000E-3	N	-89.76167E-12	N	-45.51500E-12
-400.000000E-3	N	-109.5052E-12	N	-60.99001E-12
-420.000000E-3	N	-132.9297E-12	N	-79.86472E-12
-440.000000E-3	N	-157.4538E-12	N	-99.91885E-12
-460.000000E-3	N	-187.4301E-12	N	-122.6340E-12
-480.000000E-3	N	-220.0128E-12	N	-148.6481E-12
-500.000000E-3	N	-258.0140E-12	N	-176.6139E-12
-520.000000E-3	N	-299.8012E-12	N	-209.4863E-12
-540.000000E-3	N	-347.0740E-12	N	-243.6765E-12
